,Signif_Avg,Pivot_Energy,Flux1000,Energy_Flux100,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,LP_EPeak,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,PLEC_EPeak,Npred,Variability_Index,Frac_Variability,Signif_Peak,Flux_Peak,Time_Peak,Peak_Interval,ASSOC_PROB_BAY,ASSOC_PROB_LR,PL,LP,PLEC,Flux_Band_0,Flux_Band_1,Flux_Band_2,Flux_Band_3,Flux_Band_4,Flux_Band_5,Flux_Band_6,Flux_Band_7,nuFnu_Band_0,nuFnu_Band_1,nuFnu_Band_2,nuFnu_Band_3,nuFnu_Band_4,nuFnu_Band_5,nuFnu_Band_6,nuFnu_Band_7,Sqrt_TS_Band_0,Sqrt_TS_Band_1,Sqrt_TS_Band_2,Sqrt_TS_Band_3,Sqrt_TS_Band_4,Sqrt_TS_Band_5,Sqrt_TS_Band_6,Sqrt_TS_Band_7,Flux_History_0,Flux_History_1,Flux_History_2,Flux_History_3,Flux_History_4,Flux_History_5,Flux_History_6,Flux_History_7,Sqrt_TS_History_0,Sqrt_TS_History_1,Sqrt_TS_History_2,Sqrt_TS_History_3,Sqrt_TS_History_4,Sqrt_TS_History_5,Sqrt_TS_History_6,Sqrt_TS_History_7,CLASS1,HR_01,HR_02,HR_03,HR_04,HR_05,HR_06,HR_07,HR_12,HR_13,HR_14,HR_15,HR_16,HR_17,HR_23,HR_24,HR_25,HR_26,HR_27,HR_34,HR_35,HR_36,HR_37,HR_45,HR_46,HR_47,HR_56,HR_57,HR_67
4,24.49722,2065.1467,7.0244544e-10,7.807578e-12,1.6903673e-13,2.0816336,1.7783626e-13,2.0524702,0.037898865,1.2832011,1033.5121,1.7596813e-13,2.0288398,0.040948223,0.6666667,1.1714555,797.87714,1204.7332,51.74239,0.42913482,10.227452,1.632524e-08,349790016.0,31560000.0,0.99701446,0.93293214,1.0,0.0,0.0,1.6641469018779942e-12,7.1345489516261296e-09,1.754761780325964e-09,4.705167366836349e-10,1.8661364120653445e-10,3.176632221157938e-11,1.3646062578531737e-11,1.204808822152792e-12,2.657328967482932e-16,1.7007004528626912e-12,1.1932397344510681e-12,1.1215958717336605e-12,1.268974508805698e-12,7.572307039217796e-13,9.27933619700172e-13,2.0750411209181224e-13,,2.630185127258301,7.274647235870361,13.80430793762207,15.694496154785156,9.207560539245605,6.191746711730957,0.8472246527671814,8.462245126850121e-09,4.010725529468573e-09,7.011441205406754e-09,1.6325239826642246e-08,9.845726012258638e-09,1.0745679013268727e-08,1.0052349175282416e-08,1.0390269977733624e-08,7.926063060760498,2.93457293510437,5.890345573425293,10.227452278137207,7.208447456359863,5.8258562088012695,6.605714797973633,6.771310329437256,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.2516475,2869.2637,1.1772898e-10,1.3123957e-12,1.4220716e-14,2.1089518,1.3973058e-14,2.1180434,-0.0102216955,0.0,,1.4729735e-14,2.0446334,0.032804377,0.6666667,0.0,81.29579,207.87938,9.374194,0.0,-inf,-inf,-inf,-inf,0.9916035,0.81771594,1.0,0.0,0.0,1.713124542397637e-13,2.0348291940308627e-09,3.7768280169991897e-10,6.490601112130179e-11,1.9790035929445615e-11,1.1030230548381148e-11,4.245839357180925e-12,3.401699139249847e-16,2.732576926062391e-17,4.837558305326173e-13,2.5600412089689384e-13,1.543061197480794e-13,1.3414246655737289e-13,2.622302602926091e-13,2.877950427884052e-13,5.795491407598039e-17,,1.3711562156677246,2.2472808361053467,2.5777647495269775,2.8190786838531494,3.4076192378997803,3.0292389392852783,,1.2336494048525992e-09,2.193301096298228e-09,3.710877091722686e-12,1.058737653103492e-09,1.262922127986954e-10,1.3016296929180271e-09,4.061798897225799e-09,1.9043233656645953e-09,1.353167176246643,2.224320650100708,,0.900912344455719,0.13136857748031616,2.1051814556121826,2.895270586013794,2.030468225479126,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,46.425827,340.91953,1.1854802e-09,2.2819954e-11,3.817936e-11,2.670351,4.368817e-11,2.5454607,0.14890152,7.548741,54.59985,4.228381e-11,2.5059917,0.18454067,0.6666667,7.7873816,,5749.194,1861.6034,1.0881721,38.139824,2.0028273e-07,476030016.0,31560000.0,0.9980486,0.95818156,0.0,1.0,0.0,6.676296493424161e-08,4.4067416382631563e-08,9.50380663056194e-09,1.1749979877961891e-09,7.336498769605626e-11,1.4880442730336e-14,4.884973515647574e-14,6.13982970300536e-15,1.0662744992506745e-11,1.0240480338707947e-11,6.033605906563544e-12,2.5633466703423036e-12,4.341891700777173e-13,3.0683344997813403e-16,2.722668824336333e-15,5.911619757015501e-16,2.333373546600342,15.3615140914917,34.22642135620117,26.660863876342773,7.648675918579102,,,,5.109249912038649e-09,2.3673457860695635e-08,2.4206382676084104e-08,2.663716536233096e-08,2.401313459188259e-08,3.7778967509893846e-08,5.541899383842974e-08,2.0028272729177843e-07,1.829908013343811,7.416295528411865,6.874472618103027,7.384176254272461,6.64530611038208,8.822962760925293,12.626708030700684,38.13982391357422,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,16.672523,3402.819,2.4617325e-10,2.4419386e-12,2.1449475e-14,1.8179636,2.6206439e-14,1.5992589,0.16006884,3.0929494,11898.133,2.4875786e-14,1.5368207,0.18185906,0.6666667,3.30757,15079.534,252.898,10.370596,0.0,-inf,-inf,-inf,-inf,0.9966394,0.9044934,0.0,1.0,0.0,4.485441351675945e-09,7.976950350263579e-11,1.9813255203171565e-10,1.4200557396648605e-10,6.530654489411702e-11,3.4221975947490435e-11,5.156945183382167e-12,4.613762655659062e-17,7.668803743074437e-13,2.1918952791038018e-14,1.5301887361374167e-13,3.6288233160562677e-13,4.618039891463033e-13,8.126891629274546e-13,3.3464119604705023e-13,5.7589583968182056e-18,0.37860119342803955,0.10200995206832886,2.2002484798431396,7.4335761070251465,9.004082679748535,11.812331199645996,4.648398399353027,,4.970169276141689e-10,5.986813822467241e-10,5.006560166442853e-10,3.9204617330312885e-10,1.0311322906630949e-09,8.404326123923056e-10,4.2275077882791834e-10,2.305279300784946e-10,4.456632137298584,5.5602030754089355,3.472792148590088,2.2162439823150635,5.653224468231201,6.638916969299316,3.2129881381988525,2.189011812210083,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5.5522084,2935.824,1.4059477e-10,1.5765103e-12,1.6078962e-14,2.1385322,2.0622496e-14,1.7766196,0.29265162,1.9612951,4300.095,2.0675591e-14,1.5417783,0.57662684,0.6666667,2.3264458,5554.8247,269.79892,13.482685,0.0,-inf,-inf,-inf,-inf,,0.0,1.0,0.0,0.0,2.1993141530174398e-08,3.828053873888848e-09,3.035008633300862e-10,6.623999265764624e-11,5.420093887598121e-11,5.102014730834492e-12,2.662239376296843e-16,2.370973333098059e-16,3.5039835616368364e-12,9.074432828423684e-13,2.0501162616495816e-13,1.570224392134431e-13,3.661216024363617e-13,1.2094367391260463e-13,1.7983144744919237e-17,3.992616190080743e-17,0.752190351486206,1.411259651184082,1.4527842998504639,2.180142641067505,6.005236625671387,2.234081745147705,,,3.767055112291473e-09,1.2499789885881546e-13,3.187450969832639e-09,2.1388817383893866e-09,2.501616469530177e-09,2.609480187487634e-09,1.41764322503235e-09,3.02611780078621e-09,3.793384552001953,,2.993532180786133,1.4402629137039185,2.514376640319824,1.6848530769348145,1.0476292371749878,1.7874678373336792,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,13.404971,1446.4923,3.2286623e-10,2.4902864e-12,1.497786e-13,2.1607301,1.7970576e-13,2.0422213,0.15395518,2.6393673,1261.1448,1.7156637e-13,1.9787837,0.18503946,0.6666667,2.5313535,1615.4747,443.74994,7.8673267,0.0,-inf,-inf,-inf,-inf,0.9983225,0.97085786,0.0,1.0,0.0,4.825205447873959e-13,4.163881184293672e-10,8.470167900398451e-10,2.3110949265436886e-10,6.113273082197779e-11,1.4597182837472467e-11,4.194125328232541e-17,2.4806047971214253e-19,8.008470199673815e-17,1.0634423436252025e-13,5.995582719534043e-13,5.500408613821894e-13,3.9833498370438203e-13,3.24841201030171e-13,2.533824822251263e-18,2.690721758965679e-20,,0.35546237230300903,5.952898979187012,8.622973442077637,7.773077487945557,5.428980350494385,,,2.710788926663099e-09,2.1062245281200376e-09,3.398918035912857e-09,1.2288032813501104e-09,2.529296994069341e-09,3.6268710257303383e-09,2.785783159708899e-09,2.2864077298123675e-09,5.38886022567749,3.7387537956237793,5.641364097595215,1.8127769231796265,3.1141810417175293,4.748802185058594,3.7663700580596924,2.4567952156066895,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,6.878327,2795.2131,1.6702095e-10,1.1113063e-12,1.9337764e-14,2.0532787,2.6746307e-14,1.7820854,0.30331296,2.515318,4003.3535,2.6743036e-14,1.611796,0.5594674,0.6666667,2.6698763,4944.219,128.64413,19.498081,0.45170566,-inf,-inf,-inf,-inf,0.9922678,0.0,0.0,1.0,0.0,8.125716988161003e-09,6.138179547976463e-11,8.006477425492875e-11,1.1003809669007936e-10,5.230361629915414e-11,5.052307530672984e-12,9.772310998606981e-13,3.3443505088581987e-16,1.4085275914371698e-12,1.7751811576694615e-14,6.345672007605427e-14,2.781507663085492e-13,3.5118815407825243e-13,1.1160539994340551e-13,5.6693768467818914e-14,3.1972946042563174e-17,0.8087487816810608,0.06818099319934845,0.6458173990249634,4.429816722869873,5.969969749450684,2.2220606803894043,0.6688913106918335,,8.737212620069101e-10,5.451517570698172e-10,1.943382538227567e-10,1.058152454547212e-09,1.4342883825069208e-10,6.58753329663142e-10,2.0525713073649143e-11,2.2980510550052458e-10,4.28385066986084,2.6477036476135254,1.020641565322876,4.712510585784912,0.9725648164749146,3.4755566120147705,0.097889743745327,0.8141366839408875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,11.245723,683.055,3.5833916e-10,5.3413897e-12,1.4941286e-12,2.6151664,1.6769217e-12,2.5576503,0.09903291,2.226562,40.89859,1.6683884e-12,2.4835863,0.16206774,0.6666667,2.5486255,,1458.9464,148.10793,0.9457461,11.039646,3.6069245e-08,539150016.0,31560000.0,0.9988646,0.87434393,0.0,1.0,0.0,3.277469983777037e-13,9.360278774295239e-09,1.9198631573402736e-09,3.4316344210694183e-10,5.169028052809388e-11,6.256175422252912e-17,1.4031696341308523e-16,6.165131953568385e-17,5.2279445913519304e-17,2.187323672880881e-12,1.2423234099431801e-12,7.681850489917041e-13,3.184159479054788e-13,1.345118305537034e-18,8.262176916019547e-18,6.604880026919541e-18,,2.708697557449341,7.26139497756958,9.375201225280762,6.0780110359191895,,,,7.198171836364509e-09,3.8814782499230205e-09,1.1354011064668157e-08,4.352675553320751e-09,8.852215849231015e-09,1.055590548304508e-08,7.330698270635594e-09,1.4602424824872173e-09,2.278693914413452,1.3449152708053589,3.933431625366211,1.6238747835159302,3.1631596088409424,3.152925729751587,2.351619243621826,0.4611667990684509,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,23.338678,691.1044,4.6117943e-10,5.2421158e-12,1.5070369e-12,2.4049885,1.6288045e-12,2.322214,0.07929358,2.3719027,90.60536,1.582567e-12,2.3014212,0.080881566,0.6666667,2.3143551,,1429.9028,189.31395,0.84219086,15.035206,2.6846962e-08,286670016.0,31560000.0,0.9971799,0.97325,0.0,1.0,0.0,1.1490132401092978e-08,7.885990527256581e-09,1.9280381735597985e-09,3.772890055930844e-10,8.256508671200535e-11,6.464178151088795e-12,1.4485946079820233e-12,1.47075163434493e-18,1.8435903845204216e-12,1.875935604772616e-12,1.2803989639376123e-12,8.664307877929989e-13,5.262500504810141e-13,1.435084147870247e-13,8.881460291602222e-14,1.7304804530247163e-19,0.5212235450744629,5.782349109649658,13.424991607666016,14.294793128967285,11.392122268676758,3.2081198692321777,1.7075549364089966,,2.13528501546989e-08,2.6846961986848328e-08,1.2718816222445639e-08,4.310964918374793e-09,4.1125778338368946e-09,6.1326446143539215e-09,4.262852737468847e-09,3.12796055723652e-09,11.698710441589355,15.035205841064453,7.5814361572265625,3.281045913696289,3.5706677436828613,4.137670516967773,2.7086341381073,2.464151382446289,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,16.086971,598.2377,3.7017406e-10,6.0424777e-12,2.3753154e-12,2.638379,2.8355265e-12,2.600829,0.16454981,3.2987463,96.38141,2.759766e-12,2.5318785,0.23886833,0.6666667,3.018605,,1663.9377,55.450825,0.44942507,9.000971,2.8825932e-08,286670016.0,31560000.0,0.9926908,0.9090593,0.0,1.0,0.0,1.0755827339892221e-08,1.0853282716993817e-08,2.740164317671656e-09,3.0915936477526884e-10,4.3080046474575084e-11,3.017813321286311e-13,1.439511648907247e-17,3.4617713511438325e-15,1.7300761517846652e-12,2.559172708818669e-12,1.7617384330884112e-12,6.79159094414683e-13,2.560029282745041e-13,6.225931025610233e-15,8.004585428645021e-19,3.305057973924052e-16,0.4815945625305176,5.222073554992676,12.255585670471191,8.524917602539062,4.627848148345947,0.10444757342338562,,,2.243856656036769e-08,2.882593186370741e-08,1.0918895121392325e-08,1.4389440750051108e-08,2.0202749695386046e-08,2.1927581528302653e-08,6.8810668274466025e-09,1.3376591390112935e-08,7.254715442657471,9.000970840454102,3.669628381729126,4.909520626068115,6.549127101898193,6.219092845916748,2.0131313800811768,4.326956748962402,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
