,Signif_Avg_x,Pivot_Energy_x,Flux1000,Energy_Flux100,PL_Flux_Density,PL_Index,LP_Flux_Density_x,LP_Index,LP_beta,LP_SigCurv,LP_EPeak,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS_x,PLEC_Exp_Index,PLEC_SigCurv,PLEC_EPeak,Npred,Variability_Index_x,Frac_Variability_x,Signif_Peak,Flux_Peak,Time_Peak,Peak_Interval,ASSOC_PROB_BAY,ASSOC_PROB_LR,PL,LP,PLEC,Flux_Band_0,Flux_Band_1,Flux_Band_2,Flux_Band_3,Flux_Band_4,Flux_Band_5,Flux_Band_6,Flux_Band_7,nuFnu_Band_0,nuFnu_Band_1,nuFnu_Band_2,nuFnu_Band_3,nuFnu_Band_4,nuFnu_Band_5,nuFnu_Band_6,nuFnu_Band_7,Sqrt_TS_Band_0,Sqrt_TS_Band_1,Sqrt_TS_Band_2,Sqrt_TS_Band_3,Sqrt_TS_Band_4,Sqrt_TS_Band_5,Sqrt_TS_Band_6,Sqrt_TS_Band_7,Flux_History_0,Flux_History_1,Flux_History_2,Flux_History_3,Flux_History_4,Flux_History_5,Flux_History_6,Flux_History_7,Sqrt_TS_History_0,Sqrt_TS_History_1,Sqrt_TS_History_2,Sqrt_TS_History_3,Sqrt_TS_History_4,Sqrt_TS_History_5,Sqrt_TS_History_6,Sqrt_TS_History_7,CLASS1_x,HR_01,HR_02,HR_03,HR_04,HR_05,HR_06,HR_07,HR_12,HR_13,HR_14,HR_15,HR_16,HR_17,HR_23,HR_24_x,HR_25,HR_26,HR_27,HR_34,HR_35_x,HR_36_x,HR_37_x,HR_45,HR_46_x,HR_47_x,HR_56,HR_57_x,HR_67,Frac_Variability_y,HR_24_y,Signif_Avg_y,Pivot_Energy_y,HR_35_y,HR_37_y,LP_Flux_Density_y,HR_36_y,HR_47_y,HR_57_y,PLEC_ExpfactorS_y,HR_46_y,Photon Index,Variability_Index_y,CLASS1_y,y_pred,y_probs_bll,y_probs_fsrq
4,24.49722,2065.1467,7.0244544e-10,7.807578e-12,1.6903673e-13,2.0816336,1.7783626e-13,2.0524702,0.037898865,1.2832011,1033.5121,1.7596813e-13,2.0288398,0.040948223,0.6666667,1.1714555,797.87714,1204.7332,51.74239,0.42913482,10.227452,1.632524e-08,349790016.0,31560000.0,0.99701446,0.93293214,1.0,0.0,0.0,1.6641469018779942e-12,7.134548951626129e-09,1.754761780325964e-09,4.705167366836348e-10,1.8661364120653443e-10,3.176632221157938e-11,1.3646062578531735e-11,1.204808822152792e-12,2.657328967482932e-16,1.7007004528626912e-12,1.1932397344510681e-12,1.1215958717336605e-12,1.268974508805698e-12,7.572307039217796e-13,9.27933619700172e-13,2.0750411209181227e-13,,2.630185127258301,7.274647235870361,13.80430793762207,15.694496154785156,9.207560539245604,6.191746711730957,0.8472246527671814,8.462245126850121e-09,4.010725529468573e-09,7.011441205406754e-09,1.6325239826642246e-08,9.845726012258638e-09,1.0745679013268727e-08,1.0052349175282416e-08,1.0390269977733624e-08,7.926063060760498,2.93457293510437,5.890345573425293,10.227452278137209,7.208447456359863,5.8258562088012695,6.605714797973633,6.771310329437256,1,-0.0583178233415515,-0.048067282097752,-0.0386268447813877,-0.0320951527264031,-0.0198158702045873,-0.0140585356538671,0.0021235911357455,0.0102793561217466,0.0197354352629755,0.0262718441367229,0.0385464981802087,0.0442956040232873,0.0604339301452315,0.0094579978622466,0.0159968080752423,0.0282783468778283,0.0340317435851615,0.0501857505102579,0.006539799670145,0.0188253839877285,0.0245816578741839,0.040747093529818,0.0122870970341966,0.0180447590635915,0.0342164117747929,0.0057589388881117,0.0219385381489581,0.016181643693409,-1.1901751965162355,0.0607550138355479,-0.6558055924218724,-0.2250330777865947,-0.2753718506234863,0.7079312880352718,-0.2846622548927984,2.0729826203169104,0.609169423771408,0.8254643228144934,3.2186782358828685,2.0856605842528144,0.6198176484273797,-0.1978467571862932,1.0,0.0,0.6273299060403826,0.3726700939596175
5,5.2516475,2869.2637,1.1772898e-10,1.3123957e-12,1.4220716e-14,2.1089518,1.3973058e-14,2.1180434,-0.0102216955,0.0,,1.4729735e-14,2.0446334,0.032804377,0.6666667,0.0,81.29579,207.87938,9.374194,0.0,-inf,-inf,-inf,-inf,0.9916035,0.81771594,1.0,0.0,0.0,1.713124542397637e-13,2.0348291940308627e-09,3.776828016999189e-10,6.490601112130179e-11,1.9790035929445612e-11,1.1030230548381148e-11,4.245839357180925e-12,3.401699139249847e-16,2.7325769260623907e-17,4.837558305326173e-13,2.5600412089689384e-13,1.543061197480794e-13,1.3414246655737289e-13,2.622302602926091e-13,2.8779504278840523e-13,5.795491407598039e-17,,1.3711562156677246,2.2472808361053467,2.577764749526977,2.8190786838531494,3.4076192378997803,3.0292389392852783,,1.233649404852599e-09,2.193301096298228e-09,3.710877091722686e-12,1.058737653103492e-09,1.2629221279869538e-10,1.3016296929180271e-09,4.061798897225799e-09,1.9043233656645953e-09,1.353167176246643,2.224320650100708,,0.900912344455719,0.1313685774803161,2.1051814556121826,2.895270586013794,2.030468225479126,1,-0.0638527146500373,-0.0517977152766177,-0.0394803320585073,-0.0313346479946533,-0.027372567274518,-0.0209665388307648,0.0382778874513784,0.0120950026844448,0.0244339788533217,0.032583259316774,0.0365440194778737,0.0429436675311392,0.1018815885199488,0.0123426237726293,0.020496334127111,0.0244598280377563,0.0308646960863272,0.0898973625875204,0.008155773590184,0.0121208635351016,0.0185291310108307,0.0776408867611737,0.0039654819527102,0.0103749252731014,0.0695291405172081,0.0064097070258587,0.0655817405358666,0.0591969175110439,1.0622941541915176,-0.0994028965446823,-0.5546209734403469,-0.0652413810558013,-0.3026057598367161,1.4219600442334857,-0.2832705453211238,2.433910850649218,1.442293260633771,1.5320936388537802,0.8444823218122086,2.600070824354438,-0.2235795274856427,-0.1797781870624133,1.0,0.0,0.5200900278984077,0.4799099721015922
6,46.425827,340.91953,1.1854802e-09,2.2819954e-11,3.817936e-11,2.670351,4.368817e-11,2.5454607,0.14890152,7.548741,54.59985,4.228381e-11,2.5059917,0.18454067,0.6666667,7.7873816,,5749.194,1861.6034,1.0881721,38.139824,2.0028273e-07,476030016.0,31560000.0,0.9980486,0.95818156,0.0,1.0,0.0,6.676296493424162e-08,4.4067416382631563e-08,9.503806630561941e-09,1.1749979877961891e-09,7.336498769605626e-11,1.4880442730336e-14,4.8849735156475747e-14,6.139829703005361e-15,1.0662744992506744e-11,1.0240480338707948e-11,6.033605906563544e-12,2.563346670342304e-12,4.3418917007771734e-13,3.0683344997813403e-16,2.722668824336333e-15,5.911619757015501e-16,2.333373546600342,15.3615140914917,34.22642135620117,26.660863876342773,7.648675918579102,,,,5.109249912038649e-09,2.3673457860695638e-08,2.4206382676084104e-08,2.663716536233096e-08,2.4013134591882593e-08,3.7778967509893846e-08,5.541899383842974e-08,2.0028272729177845e-07,1.829908013343811,7.416295528411865,6.874472618103027,7.384176254272461,6.64530611038208,8.822962760925293,12.626708030700684,38.13982391357422,2,0.0031714423471826,0.0147101866842821,0.0300107160563537,0.0495927283327772,0.1049864031777091,0.0976340602956268,0.110384479662061,0.0115392826735881,0.026841828440742,0.0464285882961894,0.1018488722604289,0.094491876488045,0.1072505833860324,0.0153072869765103,0.0349080076786325,0.0904158519856926,0.0830431414377922,0.0958298992973649,0.0196111998858161,0.075212660940992,0.0678220675131216,0.0806409041219577,0.055683594943936,0.0482750769613915,0.0611263734495873,-0.0074284867192968,0.0054613675602243,0.0128893313632611,-1.1901751965162355,-3.969228551914717,-0.609253159028081,6.8207970855596285,-0.7921226854436149,1.5700142722502346,-0.2882913653333409,-1.17958651715314,1.6589472525382438,1.9208753855822165,2.265315557062422,-1.1841181249680108,-2.0995063886812875,-0.1965278992400125,0.0,0.0,0.9938398797211953,0.0061601202788045
10,16.672523,3402.819,2.4617325e-10,2.4419386e-12,2.1449475e-14,1.8179636,2.6206439e-14,1.5992589,0.16006884,3.0929494,11898.133,2.4875786e-14,1.5368207,0.18185906,0.6666667,3.30757,15079.534,252.898,10.370596,0.0,-inf,-inf,-inf,-inf,0.9966394,0.9044934,0.0,1.0,0.0,4.485441351675945e-09,7.976950350263579e-11,1.9813255203171562e-10,1.4200557396648603e-10,6.530654489411701e-11,3.4221975947490435e-11,5.156945183382167e-12,4.6137626556590617e-17,7.668803743074437e-13,2.1918952791038015e-14,1.530188736137417e-13,3.628823316056268e-13,4.618039891463033e-13,8.126891629274546e-13,3.346411960470503e-13,5.7589583968182056e-18,0.3786011934280395,0.1020099520683288,2.20024847984314,7.433576107025146,9.004082679748535,11.812331199645996,4.648398399353027,,4.970169276141688e-10,5.986813822467241e-10,5.006560166442853e-10,3.9204617330312885e-10,1.0311322906630947e-09,8.404326123923055e-10,4.227507788279184e-10,2.305279300784946e-10,4.456632137298584,5.560203075408936,3.472792148590088,2.2162439823150635,5.653224468231201,6.638916969299316,3.2129881381988525,2.189011812210083,1,0.0287807965205241,0.0224282312924079,0.024763483216698,0.0301665644307698,0.0346161556022033,0.0474154069706158,0.1191470373007033,-0.0063566684726243,-0.004020178536413,0.0013869721040487,0.0058411785341291,0.0186600749807524,0.0906771861480728,0.0023365496466023,0.0077435723052986,0.0121973941121989,0.0250137764215158,0.0969779560603238,0.0054071204910312,0.009861125505868,0.0226785522440008,0.0946628564309273,0.0044542425163563,0.0172735499335092,0.0893014451945616,0.0128202938180017,0.0848809658049249,0.072139173757981,0.3253372017226196,-0.0248395909217381,0.4734462789597392,-0.5628241967826251,-0.2787672919344205,-0.9066306446941024,-0.1677442102035611,-0.4561111104727206,-0.878714267457181,-0.7372747455923666,-0.6245450990540554,-0.437070733569233,-0.3619892203656372,-0.0712835449006437,0.0,0.0,0.9267407487998416,0.0732592512001586
18,5.5522084,2935.824,1.4059477e-10,1.5765103e-12,1.6078962e-14,2.1385322,2.0622496e-14,1.7766196,0.29265162,1.9612951,4300.095,2.0675591e-14,1.5417783,0.57662684,0.6666667,2.3264458,5554.8247,269.79892,13.482685,0.0,-inf,-inf,-inf,-inf,,0.0,1.0,0.0,0.0,2.19931415301744e-08,3.828053873888848e-09,3.035008633300862e-10,6.623999265764624e-11,5.420093887598121e-11,5.102014730834492e-12,2.662239376296843e-16,2.370973333098059e-16,3.5039835616368364e-12,9.074432828423684e-13,2.0501162616495819e-13,1.570224392134431e-13,3.661216024363617e-13,1.2094367391260466e-13,1.7983144744919237e-17,3.992616190080743e-17,0.752190351486206,1.411259651184082,1.452784299850464,2.180142641067505,6.005236625671387,2.234081745147705,,,3.767055112291473e-09,1.2499789885881546e-13,3.187450969832639e-09,2.138881738389386e-09,2.5016164695301772e-09,2.609480187487634e-09,1.41764322503235e-09,3.0261178007862104e-09,3.793384552001953,,2.993532180786133,1.4402629137039185,2.514376640319824,1.6848530769348145,1.0476292371749878,1.7874678373336792,1,0.0129948149489013,0.0312455639162316,0.0418843272810694,0.0432689297568962,0.0592844028047648,0.1207060212555028,0.1213801013350891,0.0182581623348452,0.0289052448523093,0.0302911466635914,0.0463252763782967,0.1078804224030925,0.108556513873349,0.0106527045531627,0.0120396429817975,0.0280908737094019,0.0897991372731316,0.0904776821455476,0.0013871163329066,0.0174433889818639,0.0792222169841547,0.0799019896882325,0.0160566611560872,0.0778436549240467,0.0785235763867378,0.0618643185482625,0.0625457745981504,0.0006841030853402,0.2171200835806975,0.5776649797649961,-0.60475299373578,-0.1251032382469429,-0.6764195001763296,0.9284675324799576,-0.2844874636503466,-0.5951368257838553,0.9798869465092837,1.2412417053012668,-0.8025017347140531,-0.5923328671779596,0.6899107682915826,-0.1936118049269453,0.0,0.0,0.5451551274418469,0.454844872558153
25,13.404971,1446.4923,3.2286623e-10,2.4902864e-12,1.497786e-13,2.1607301,1.7970576e-13,2.0422213,0.15395518,2.6393673,1261.1448,1.7156637e-13,1.9787837,0.18503946,0.6666667,2.5313535,1615.4747,443.74994,7.8673267,0.0,-inf,-inf,-inf,-inf,0.9983225,0.97085786,0.0,1.0,0.0,4.825205447873959e-13,4.163881184293672e-10,8.47016790039845e-10,2.3110949265436886e-10,6.113273082197779e-11,1.4597182837472467e-11,4.194125328232541e-17,2.4806047971214253e-19,8.008470199673814e-17,1.0634423436252025e-13,5.995582719534043e-13,5.500408613821894e-13,3.9833498370438203e-13,3.24841201030171e-13,2.5338248222512632e-18,2.6907217589656792e-20,,0.355462372303009,5.952898979187012,8.622973442077637,7.773077487945557,5.428980350494385,,,2.710788926663099e-09,2.1062245281200376e-09,3.3989180359128572e-09,1.2288032813501102e-09,2.529296994069341e-09,3.6268710257303374e-09,2.785783159708899e-09,2.2864077298123675e-09,5.38886022567749,3.7387537956237793,5.641364097595215,1.8127769231796265,3.1141810417175293,4.748802185058594,3.766370058059693,2.456795215606689,1,-0.0458360821682989,-0.0508957164930543,-0.0416780750412724,-0.0324063686953109,-0.0226037489030696,0.0571545078536767,0.0858222253404341,-0.0050714653446326,0.0041659656197421,0.0134496913887407,0.0232564284901173,0.1027214865664194,0.1311424253931846,0.009237235804211,0.0185198934980351,0.0283245531188098,0.1077368265772399,0.1361233572347408,0.0092842459741383,0.0190923126382786,0.0985977142788294,0.127045869357576,0.0098098055279679,0.0893953012490365,0.1179006902069755,0.0796553495212812,0.1082160455005213,0.0288090294363946,0.7972178996439914,0.8021318799518266,-0.1049776740385802,-0.8959263562214244,0.7106281501616096,-0.9496407373753624,6.250419579082621,1.6092862398213743,-1.0810319993936408,-1.2814878135608263,-0.1716377844089713,1.5826146874500735,0.8626019323449584,0.222847256438518,1.0,1.0,0.0336844445048373,0.9663155554951626
27,6.878327,2795.2131,1.6702095e-10,1.1113063e-12,1.9337764e-14,2.0532787,2.6746307e-14,1.7820854,0.30331296,2.515318,4003.3535,2.6743036e-14,1.611796,0.5594674,0.6666667,2.6698763,4944.219,128.64413,19.498081,0.45170566,-inf,-inf,-inf,-inf,0.9922678,0.0,0.0,1.0,0.0,8.125716988161003e-09,6.138179547976462e-11,8.006477425492875e-11,1.1003809669007936e-10,5.2303616299154137e-11,5.052307530672984e-12,9.772310998606981e-13,3.3443505088581987e-16,1.4085275914371698e-12,1.7751811576694615e-14,6.345672007605428e-14,2.7815076630854923e-13,3.511881540782525e-13,1.1160539994340553e-13,5.669376846781891e-14,3.1972946042563174e-17,0.8087487816810608,0.0681809931993484,0.6458173990249634,4.429816722869873,5.969969749450684,2.2220606803894043,0.6688913106918335,,8.7372126200691e-10,5.451517570698171e-10,1.9433825382275669e-10,1.058152454547212e-09,1.4342883825069208e-10,6.58753329663142e-10,2.0525713073649143e-11,2.2980510550052455e-10,4.28385066986084,2.6477036476135254,1.020641565322876,4.712510585784912,0.9725648164749146,3.4755566120147705,0.097889743745327,0.8141366839408875,1,0.0349794687938851,0.0331400494282495,0.0309295761721007,0.0360839985344034,0.051930415445902,0.0627608956480367,0.112033317218969,-0.0018415541344591,-0.0040542789467628,0.001105925638865,0.0169817940528351,0.0278425507973218,0.0773570001368672,-0.0022127413330158,0.0029474737704344,0.0188227595451481,0.029682582999946,0.0791872734817175,0.0051601814487622,0.0210346247881861,0.0318932295895246,0.0813857543252932,0.0158761665779269,0.0267374484523755,0.0762575984186521,0.0108658943182115,0.0604546229429927,0.0496213245525217,-0.5440019399364812,-0.5760618685327042,1.5810923777605546,0.0779672157969375,-0.711964279033667,-1.0690633428409,-0.2288197899356044,-0.8178931635145854,-0.9396013581777036,-0.6746268493128406,-0.2223471765714312,-0.6990468584192467,-1.7377418438977434,-0.1475192855970046,0.0,0.0,0.9946143688237274,0.0053856311762723
28,11.245723,683.055,3.5833916e-10,5.3413897e-12,1.4941286e-12,2.6151664,1.6769217e-12,2.5576503,0.09903291,2.226562,40.89859,1.6683884e-12,2.4835863,0.16206774,0.6666667,2.5486255,,1458.9464,148.10793,0.9457461,11.039646,3.6069245e-08,539150016.0,31560000.0,0.9988646,0.87434393,0.0,1.0,0.0,3.277469983777037e-13,9.36027877429524e-09,1.9198631573402736e-09,3.4316344210694183e-10,5.169028052809388e-11,6.256175422252912e-17,1.4031696341308523e-16,6.165131953568385e-17,5.22794459135193e-17,2.187323672880881e-12,1.2423234099431801e-12,7.681850489917041e-13,3.1841594790547883e-13,1.345118305537034e-18,8.262176916019547e-18,6.604880026919542e-18,,2.708697557449341,7.26139497756958,9.375201225280762,6.0780110359191895,,,,7.1981718363645095e-09,3.8814782499230205e-09,1.1354011064668157e-08,4.3526755533207515e-09,8.852215849231015e-09,1.055590548304508e-08,7.330698270635594e-09,1.4602424824872171e-09,2.278693914413452,1.3449152708053589,3.933431625366211,1.6238747835159302,3.1631596088409424,3.152925729751587,2.351619243621826,0.4611667990684509,2,-0.0708722721964547,-0.0592800565278394,-0.0469624207582095,-0.033746918550032,0.0523502462603621,0.0476477933834085,0.0524351600501141,0.0116411236646775,0.0239896971501326,0.0372143600052042,0.1227670305645577,0.1181211812907648,0.1228508938854575,0.0123520229982472,0.0255843199019954,0.1112849493606787,0.1066266760528706,0.1113690415871701,0.0132364798710713,0.0990691061865308,0.0943989817201087,0.0991534172981501,0.0859453286792925,0.081264042100273,0.0860298466293054,-0.0047142118831732,8.514751914209923e-05,0.0047993574758366,-0.2410132254266475,-0.8354511913977744,-0.4841082325623232,0.0197763373333308,-0.3316979707388889,1.0177658971766903,-0.28363598939588,1.8508905177341528,1.2049097747593895,1.1544238448981277,2.066020451700414,2.1842674401799607,-1.3870224095084525,-0.1934362832800564,0.0,0.0,0.9466773562715224,0.0533226437284775
29,23.338678,691.1044,4.6117943e-10,5.2421158e-12,1.5070369e-12,2.4049885,1.6288045e-12,2.322214,0.07929358,2.3719027,90.60536,1.582567e-12,2.3014212,0.080881566,0.6666667,2.3143551,,1429.9028,189.31395,0.84219086,15.035206,2.6846962e-08,286670016.0,31560000.0,0.9971799,0.97325,0.0,1.0,0.0,1.1490132401092978e-08,7.885990527256581e-09,1.928038173559798e-09,3.7728900559308437e-10,8.256508671200534e-11,6.464178151088795e-12,1.4485946079820233e-12,1.4707516343449299e-18,1.8435903845204216e-12,1.875935604772616e-12,1.2803989639376125e-12,8.66430787792999e-13,5.262500504810141e-13,1.435084147870247e-13,8.881460291602222e-14,1.7304804530247163e-19,0.5212235450744629,5.782349109649658,13.424991607666016,14.294793128967283,11.392122268676758,3.2081198692321777,1.7075549364089966,,2.13528501546989e-08,2.6846961986848328e-08,1.271881622244564e-08,4.310964918374793e-09,4.1125778338368946e-09,6.132644614353921e-09,4.262852737468847e-09,3.1279605572365203e-09,11.698710441589355,15.035205841064451,7.581436157226562,3.281045913696289,3.5706677436828613,4.137670516967773,2.7086341381073,2.464151382446289,2,0.0027991329660925,0.0131365747474424,0.024843461741147,0.035500726477769,0.0528543831488798,0.0627558408959193,0.1452064455417929,0.0103378219136003,0.0220458618476549,0.0327048434329738,0.0500626567749481,0.0599672418920579,0.1424652178696049,0.0117107088771404,0.0223745862964559,0.0397454046515794,0.0496602058630179,0.1323222775667366,0.0106666723249726,0.0280477505119311,0.037971579593932,0.1207987569539891,0.0173862797474424,0.0273159710675705,0.1102741751927897,0.009934409400782,0.0930663275746682,0.0832088496646862,0.3852569729938004,-0.5651557423170521,-0.3275704150467033,-0.1311396123002067,-0.3758758855858878,-0.0558077722407298,-0.2787488388594272,2.384700745676609,-0.050841899564506,0.1358749644495281,0.4295919676635188,2.558105436400236,-0.9422839589786062,-0.1846885041828244,0.0,0.0,0.8928650897428165,0.1071349102571835
33,16.086971,598.2377,3.7017406e-10,6.0424777e-12,2.3753154e-12,2.638379,2.8355265e-12,2.600829,0.16454981,3.2987463,96.38141,2.759766e-12,2.5318785,0.23886833,0.6666667,3.018605,,1663.9377,55.450825,0.44942507,9.000971,2.8825932e-08,286670016.0,31560000.0,0.9926908,0.9090593,0.0,1.0,0.0,1.075582733989222e-08,1.0853282716993816e-08,2.740164317671656e-09,3.0915936477526884e-10,4.3080046474575084e-11,3.017813321286311e-13,1.4395116489072468e-17,3.4617713511438325e-15,1.7300761517846652e-12,2.559172708818669e-12,1.7617384330884114e-12,6.79159094414683e-13,2.560029282745041e-13,6.225931025610233e-15,8.004585428645021e-19,3.3050579739240523e-16,0.4815945625305176,5.222073554992676,12.255585670471191,8.524917602539062,4.627848148345947,0.1044475734233856,,,2.2438566560367693e-08,2.8825931863707414e-08,1.0918895121392325e-08,1.4389440750051108e-08,2.020274969538605e-08,2.1927581528302653e-08,6.881066827446602e-09,1.3376591390112937e-08,7.254715442657471,9.000970840454102,3.669628381729126,4.909520626068115,6.549127101898193,6.219092845916748,2.0131313800811768,4.326956748962402,2,-6.720380291553072e-05,0.0100847664742215,0.0257618055665929,0.0395011709637455,0.0724306680007731,0.1321097203403128,0.1002121193133694,0.0101519633967996,0.0258289646520466,0.0395682697275883,0.0724975189135811,0.1321757506504852,0.1002786477761421,0.0156811130736656,0.0294281274808776,0.0623914751532434,0.1221877440694937,0.0902185291120305,0.013753361112926,0.0467561067477842,0.106711093701767,0.0746430155245302,0.0330239818259292,0.0930943612440176,0.0609522275018943,0.0602556260908938,0.0279845754151373,-0.0323255589419976,0.4453462934389968,1.1670676482765618,-0.482270293574627,-0.7975448907113395,4.104932807591577,0.1585294037283279,-0.0315048648484384,1.1194294850234754,0.0418168834096594,-1.9380596126977847,1.346623640500965,1.054288020123832,2.507189783536671,-0.160523513205279,1.0,1.0,0.0279041573804907,0.9720958426195094
